   id   | start_year | start_day | start_time | end_year | end_day | end_time | density 
--------+------------+-----------+------------+----------+---------+----------+---------
 470671 |       2023 |       128 |       1100 |     2023 |     128 |     1500 |       2
 470694 |       2023 |       128 |       1800 |     2023 |     129 |        0 |       2
 470828 |       2023 |       129 |       1800 |     2023 |     130 |        0 |       3
 470811 |       2023 |       129 |       1800 |     2023 |     130 |        0 |       2
 470761 |       2023 |       129 |       1200 |     2023 |     129 |     1430 |       3
 470743 |       2023 |       129 |       1200 |     2023 |     129 |     1430 |       2
 470862 |       2023 |       130 |       2200 |     2023 |     130 |     2200 |       2
 471097 |       2023 |       134 |       2300 |     2023 |     134 |     2300 |       2
 471081 |       2023 |       134 |       1200 |     2023 |     134 |     1520 |       2
 471141 |       2023 |       135 |       1800 |     2023 |     135 |     2200 |       2
 471148 |       2023 |       135 |       2200 |     2023 |     136 |      200 |       3
 471160 |       2023 |       135 |       2200 |     2023 |     136 |      200 |       2
 471098 |       2023 |       135 |       1040 |     2023 |     135 |     1440 |       2
 471142 |       2023 |       135 |       1800 |     2023 |     135 |     2200 |       3
 471099 |       2023 |       135 |       1040 |     2023 |     135 |     1440 |       3
 471180 |       2023 |       136 |       1110 |     2023 |     136 |     1510 |       3
 471201 |       2023 |       136 |       1850 |     2023 |     136 |     2310 |       2
 471177 |       2023 |       136 |       1050 |     2023 |     136 |     1450 |       2
 471220 |       2023 |       137 |       1200 |     2023 |     137 |     1500 |       2
 471234 |       2023 |       137 |       2310 |     2023 |     137 |     2310 |       3
 471231 |       2023 |       137 |       2250 |     2023 |     137 |     2250 |       2
 471302 |       2023 |       138 |       2000 |     2023 |     139 |        0 |       2
 471291 |       2023 |       138 |       1200 |     2023 |     138 |     1500 |       3
 471279 |       2023 |       138 |       1200 |     2023 |     138 |     1500 |       2
 471347 |       2023 |       139 |       2000 |     2023 |     139 |     2310 |       2
 471316 |       2023 |       139 |       1030 |     2023 |     139 |     1630 |       2
 471355 |       2023 |       140 |       1440 |     2023 |     140 |     1440 |       2
 471366 |       2023 |       140 |       2000 |     2023 |     140 |     2330 |       3
 471367 |       2023 |       140 |       2000 |     2023 |     140 |     2330 |       2
 471409 |       2023 |       141 |       1200 |     2023 |     141 |     1500 |       3
 471420 |       2023 |       141 |       2000 |     2023 |     142 |        0 |       2
 471418 |       2023 |       141 |       2000 |     2023 |     142 |        0 |       3
 471414 |       2023 |       141 |       1200 |     2023 |     141 |     1500 |       2
 471429 |       2023 |       142 |       2020 |     2023 |     142 |     2350 |       2
 471422 |       2023 |       142 |       1040 |     2023 |     142 |     1440 |       3
 471423 |       2023 |       142 |       1040 |     2023 |     142 |     1440 |       2
 471431 |       2023 |       142 |       2240 |     2023 |     142 |     2240 |       3
 471454 |       2023 |       143 |       1030 |     2023 |     143 |     1720 |       2
 471457 |       2023 |       143 |       2010 |     2023 |     143 |     2010 |       2
 471455 |       2023 |       143 |       1030 |     2023 |     143 |     1720 |       2
 471479 |       2023 |       144 |       1850 |     2023 |     144 |     2320 |       2
 471487 |       2023 |       145 |        830 |     2023 |     145 |     1130 |       2
 471580 |       2023 |       145 |       1900 |     2023 |     145 |     2320 |       2
 471638 |       2023 |       146 |       1200 |     2023 |     146 |     1500 |       2
 471677 |       2023 |       146 |       1920 |     2023 |     146 |     2350 |       2
 471695 |       2023 |       147 |       1000 |     2023 |     147 |     1300 |       2
 471897 |       2023 |       150 |       2100 |     2023 |     151 |      100 |       2
 471920 |       2023 |       151 |       2020 |     2023 |     151 |     2350 |       2
 471944 |       2023 |       152 |        900 |     2023 |     152 |     1300 |       2
 471982 |       2023 |       152 |       2000 |     2023 |     153 |       10 |       2
 472069 |       2023 |       153 |       1930 |     2023 |     153 |     2350 |       2
 472000 |       2023 |       153 |        900 |     2023 |     153 |     1300 |       2
 472121 |       2023 |       154 |       2340 |     2023 |     154 |     2340 |       3
 472116 |       2023 |       154 |       1910 |     2023 |     154 |     2340 |       2
 472099 |       2023 |       154 |       1500 |     2023 |     154 |     1700 |       2
 472083 |       2023 |       154 |        900 |     2023 |     154 |     1500 |       3
 472143 |       2023 |       155 |       1800 |     2023 |     156 |        0 |       2
 472125 |       2023 |       155 |       1000 |     2023 |     155 |     1530 |       3
 472126 |       2023 |       155 |       1150 |     2023 |     155 |     1550 |       2
 472147 |       2023 |       155 |       1800 |     2023 |     156 |        0 |       3
 472215 |       2023 |       156 |       2100 |     2023 |     157 |       30 |       2
 472154 |       2023 |       156 |       1050 |     2023 |     156 |     1450 |       2
 472282 |       2023 |       157 |       2100 |     2023 |     158 |       30 |       2
 472226 |       2023 |       157 |       1100 |     2023 |     157 |     1500 |       2
 472287 |       2023 |       157 |       2100 |     2023 |     158 |       30 |       3
 472230 |       2023 |       157 |       1110 |     2023 |     157 |     1510 |       3
 472319 |       2023 |       158 |       1100 |     2023 |     158 |     1500 |       3
 472317 |       2023 |       158 |       1100 |     2023 |     158 |     1500 |       2
 472361 |       2023 |       158 |       1900 |     2023 |     158 |     2330 |       3
 472381 |       2023 |       158 |       1900 |     2023 |     158 |     2330 |       2
 472433 |       2023 |       159 |       2030 |     2023 |     160 |       30 |       2
 472421 |       2023 |       159 |       1400 |     2023 |     159 |     1700 |       2
 472405 |       2023 |       159 |       1100 |     2023 |     159 |     1400 |       2
 472419 |       2023 |       159 |       1400 |     2023 |     159 |     1700 |       2
 472454 |       2023 |       160 |       1310 |     2023 |     160 |     1440 |       2
 472520 |       2023 |       160 |       2100 |     2023 |     161 |      100 |       2
